artist,track,album,track_id
"VALORANT, Grabbitz",Die For You,Die For You,2lz3zjQ5QCVXiyOzIk02vW
"K/DA, Madison Beer, i-dle, Jaira Burns, League of Legends",POP/STARS,POP/STARS,5sbooPcNgIE22DwO0VNGUJ
Pigeon John,The Bomb,Dragon Slayer,4eYmH4Sh0ibdU9nmnbu7aM
eaJ,in my civic,in my civic,44NX9F9DsznD4ww3dhxRtX
eaJ,50 proof,medicated insomnia,45msxlsztytuAG4Nr7dUSj
eaJ,typical story,typical story,3fyGfzTIepF4iz3hgVqgGO
eaJ,enemy,enemy,4lAuerdYbz9gBJ4qcn9oHu
eaJ,LA STARS,LA STARS,6vKiYEdILFwvN3mtwgLiAA
eaJ,castle in the sky,laughing in insomnia,4eFJGYVvnPDky3iKsFLCNB
eaJ,sober go away,laughing in insomnia,1BkHHRUJtnZFy01DwjEAMw
Rihanna,Diamonds,Unapologetic (Edited Version),1z9kQ14XBSN0r2v6fx4IdG
Kevin Gates,Big Gangsta,Big Gangsta,03ERnTvSV5fy8WAyvA4uNP
Kanye West,I Wonder,Graduation,7rbECVPkY5UODxoOUVKZnA
"Gotye, Kimbra",Somebody That I Used To Know,Making Mirrors,4wCmqSrbyCgxEXROQE6vtV
"Kanye West, Dwele",Flashing Lights,Graduation,5TRPicyLGbAF2LGBFbHGvO
Capital Cities,Safe And Sound,In A Tidal Wave Of Mystery (Deluxe Edition),6Z8R6UsFuGXGtiIxiD8ISb
Tove Lo,Habits (Stay High),Queen Of The Clouds,14OxJlLdcHNpgsm4DRwDOB
Frank Sinatra,My Way - 2008 Remastered,Nothing But The Best (2008 Remastered),2YkIDPL5lGhRhomCq4S2RO
MAGIC!,Rude,Don't Kill the Magic,6RtPijgfPKROxEzTHNRiDp
"Daft Punk, Pharrell Williams, Nile Rodgers",Get Lucky (feat. Pharrell Williams and Nile Rodgers),Random Access Memories,69kOkLUCkxIZYexIgSG8rq
Tyler The Creator,NEW MAGIC WAND,IGOR,0fv2KH6hac06J86hBUTcSf
Tyler The Creator,A BOY IS A GUN*,IGOR,1nXZnTALNXiPlvXotqHm66
Tyler The Creator,"GONE, GONE / THANK YOU",IGOR,1hz7SRTGUNAtIQ46qiNv2p
Maroon 5,Maps,V,4gbVRS8gloEluzf0GzDOFc
Tyler The Creator,BEST INTEREST,BEST INTEREST,3jHdKaLCkuNEkWcLVmQPCX
Twenty One Pilots,Heathens,Heathens,6i0V12jOa3mr6uu4WYhUBr
Kanye West,Father Stretch My Hands Pt. 1,The Life Of Pablo,4KW1lqgSr8TKrvBII0Brf8
"Owl City, Carly Rae Jepsen",Good Time,The Midsummer Station,1kPpge9JDLpcj15qgrPbYX
One Direction,One Thing,Up All Night,5G2c6FsfTzgYUzageCmfXY
Ellie Goulding,Burn,Halcyon Nights,5lF0pHbsJ0QqyIrLweHJPW
"Rihanna, Calvin Harris",We Found Love,Talk That Talk (Explicit),1zv3WFUbZ5vPxFq9I2jAU1
Train,"Hey, Soul Sister","Save Me, San Francisco (Golden Gate Edition)",4HlFJV71xXKIGcU3kRyttv
Bruno Mars,Count on Me,Doo-Wops & Hooligans,7l1qvxWjxcKpB9PCtBuTbU
Ylvis,The Fox (What Does the Fox Say?),The Fox (What Does the Fox Say?),5HOpkTTVcmZHnthgyxrIL8
Shakira,Waka Waka (This Time for Africa) - K-Mix,Sale el Sol,63Tl9k1sH8tznn3bqoMuyF
LMFAO,Sexy And I Know It,Sorry For Party Rocking (Deluxe Version),0obBFrPYkSoBJbvHfUIhkv
"Flo Rida, Sia",Wild Ones (feat. Sia),Wild Ones,1NpW5kyvO4XrNJ3rnfcNy3
"Zedd, Foxes",Clarity,Clarity,60wwxj6Dd9NJlirf84wr2c
Avril Lavigne,Girlfriend,The Best Damn Thing (Expanded Edition),45hOioMDJktr86iKDHC8gr
Nicki Minaj,Super Bass,Pink Friday (Complete Edition),3hlksXnvbKogFdPbpO9vel
"Justin Bieber, Nicki Minaj",Beauty And A Beat,Believe,6QFCMUUq1T2Vf5sFUXcuQ7
Justin Bieber,What Do You Mean?,Purpose (Deluxe),4B0JvthVoAAuygILe3n4Bs
Joji,SLOW DANCING IN THE DARK,BALLADS 1,6rY5FAWxCdAGllYEOZMbjW
Demi Lovato,Give Your Heart a Break,Unbroken,3sP3c86WFjOzHHnbhhZcLA
Joji,Die For You,SMITHEREENS,26hOm7dTtBi0TdpDGl141t
Joji,Glimpse of Us,SMITHEREENS,4ewazQLXFTDC8XvCbhvtXs
BTS,Dynamite,BE,5QDLhrAOJJdNAmCTJ8xMyW
BTS,Butter,Proof,6jjYDGxVJsWS0a5wlVF5vS
"Coldplay, BTS",My Universe,Music Of The Spheres,46HNZY1i7O6jwTA7Slo2PI
Childish Gambino,Me and Your Mama," Awaken, My Love! ",4AFsRbaLKRWo3dDtjDFA2V
"Taylor Swift, Brendon Urie, Panic! At The Disco",ME! (feat. Brendon Urie of Panic! At The Disco),Lover,2Rk4JlNc2TPmZe2af99d45
Childish Gambino,This Is America,This Is America,0b9oOr2ZgvyQu88wzixux9
Jason Derulo,Want to Want Me,Everything Is 4,7oGZAicScQt96OAW4AruYy
Childish Gambino,Feels Like Summer,Summer Pack,7p4vHnYXkxlzvfePJVpcTr
Shawn Mendes,There's Nothing Holdin' Me Back,Illuminate (Deluxe),7JJmb5XwzOO8jgpou264Ml
OMI,Cheerleader,Cheerleader (Remixes),5ByIHT8s38diBQf6dkEWbt
"Mike Posner, Seeb",I Took A Pill In Ibiza - Seeb Remix,"At Night, Alone.",0vbtURX4qv1l7besfwmnD8
Avicii,Hey Brother,TRUE,4lhqb6JvbHId48OUJGwymk
Urban Madness,Why You Gotta Be so Rude?,Must Have Pop Hits,6kiEC6kRytzsjBBlX4Ljnt
Flo Rida,My House,My House,6Knv6wdA0luoMUuuoYi2i1
YNW Melly,Murder on My Mind,I AM YOU,7eBqSVxrzQZtK2mmgRG6lC
"MF DOOM, Mr. Fantastik",Rapp Snitch Knishes,MM..FOOD,5KUNwkaNf8l5A9sXZhiCgI
"MF DOOM, Pebbles The Invisible Girl",Doomsday,Operation: Doomsday (Complete),7EQvdUJqZ2i7SWvSB2VqGA
XXXTENTACION,SAD!,?,3ee8Jmje8o58CHK66QrVC2
XXXTENTACION,Moonlight,?,0JP9xo3adEtGSdUEISiszL
Nicki Minaj,Starships,Pink Friday ... Roman Reloaded,1oHNvJVbFkexQc0BpQp7Y4
"CG5, DHeusta, Djsmell",GRIMACE,GRIMACE,3vsax0Ule1wiXOVd1afAWQ
Katy Perry,Last Friday Night (T.G.I.F.),Teenage Dream,3avYqdwHKEq8beXbeWCKqJ
Kesha,TiK ToK,Animal (Expanded Edition),0HPD5WQqrq7wPWR7P7Dw1i
"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Wanz",Thrift Shop (feat. Wanz),The Heist,6CjtS2JZH9RkDz5UVInsa9
Bobby Cole,Trance Music for Racing Game,The Sound of Rugby,0aiBkiwROTevNB0au6vLMH
"Dream, Alec Benjamin",Change My Clothes,Change My Clothes,4mnjwMLCk3JZkhkok3u5g1
Evanescence,Bring Me To Life,Fallen,0COqiPhxzoWICwFCS4eZcp
Dream,Until I End Up Dead,to whoever wants to hear,1AZi6WDQ0QHIjo25nQxqS2
Panic! At The Disco,House of Memories,Death of a Bachelor,2DgdHcjWmO3qd50RzuBLgZ
Fall Out Boy,Centuries,American Beauty/American Psycho,04aAxqtGp5pv12UXAg4pkq
"The Living Tombstone, Black Gryph0n, LittleJayneyCakes",No Mercy (feat. BlackGryph0n & LittleJayneyCakes),No Mercy,468BsK9sjyvH3vQFfRbBwD
JT Music,To the Bone,Game On!,6A1otOgRcNpIs0eta8D4tb
"Ed Helms, The Lorax Singers",How Bad Can I Be?,Dr. Seuss' The Lorax - Original Songs From The Motion Picture,4l1R5g85v3bUA1bSSbzg6w
"The Lorax Singers, Jenny Slate, Betty White, Rob Riggle",Let It Grow - From  Dr. Seuss' The Lorax ,Dr. Seuss' The Lorax - Original Songs From The Motion Picture,5BWbhDZB3TJgF7hb2TlTIG
Pharrell Williams,Despicable Me,Despicable Me,2EOMe4XAS7U6UA1mhDs9tP
Sabrina Carpenter,Feather,emails i can’t send fwd:,2Zo1PcszsT9WQ0ANntJbID
Kevin Gates,2 Phones,Islah (Deluxe),0wdKiSBUT7aZkXUIdJWcwC
Central Cee,Doja,Doja,3LtpKP5abr2qqjunvjlX5i
"MUPP, Sadfriendd",vendetta!,vendetta!,5Sk39LuvdwuvL84jD01Dum
g3ox_em,GigaChad Theme - Phonk House Version,GigaChad Theme (Phonk House Version),7mLWNwcvwRdEviz6SfYp8A
Sabrina Carpenter,Nonsense,emails i can't send,6dgUya35uo964z7GZXM07g
Ricegum,God Church,God Church,6vSCM2SU46QPusXLiy0kjz
Sabrina Carpenter,decode,emails i can't send,17wMOhLqVB3DRCmTaLjwVM
"Jake Paul, Team 10",It's Everyday Bro,It's Everyday Bro,4l62h4tiuUwn7eD6hxMlVQ
"Bhad Bhabie, Lil Yachty",Gucci Flip Flops (feat. Lil Yachty),15,3hv6ndi7uFT9L9wrhQCsqY
Britney Spears,Gimme More,Blackout,6ic8OlLUNEATToEFU3xmaH
"Fergie, Ludacris",Glamorous,The Dutchess,4KTtYhxFtFL7mBwnjkKfLm
Amerie,1 Thing,Touch,1mnqraQ8oV8MX92rdOFLWW
"Gorillaz, De La Soul",Feel Good Inc.,Demon Days,0d28khcov6AiegSCpG5TuT
"Mike Posner, Gigamesh",Cooler Than Me - Single Mix,31 Minutes to Takeoff,2V4bv1fNWfTcyRJKmej6Sj
Real Life,Send Me An Angel,Heartland,3HCDGtLZabH3umLgwCBpDB
PSY,Gentleman,Tik Tock Hits 2020,26spalP6x2gUAab8rwB8dQ
Iyaz,Replay,Replay,5vlEg2fT4cFWAqU5QptIpQ
"Taio Cruz, Ludacris",Break Your Heart,Rokstarr,1CdqVF1ywD0ZO1zXtB9yWa
"USHER, Pitbull",DJ Got Us Fallin' In Love (feat. Pitbull),Raymond v Raymond (Expanded Edition),4356Typ82hUiFAynbLYbPn
Alvin & The Chipmunks,Uptown Funk - From  Alvin And The Chipmunks: The Road Chip  Soundtrack,Uptown Funk (From  Alvin And The Chipmunks: Road Chip  Original Motion Picture Soundtrack),6O5IJlhJtlgKMoNFzinZgY
Blaze n Vill,Who's da King (all Hail King Julien Theme),All Hail King Julien (Original Soundtrack),76Zv4dsoNI0v5Q6LqI3UFb
Lankybox,The Chicken Wing Song,The Chicken Wing Song,2NiYHial921PuGWt77f8br
"Shiloh & Bros, Britney Nelson, Judah Nelson",Red Is Sus,Red Is Sus,6kiaCgCboG8oM9vG9H4ugp
"Kanye West, Jamie Foxx",Gold Digger,Late Registration,1PS1QMdUqOal0ai3Gt7sDQ
"Maroon 5, Wiz Khalifa",Payphone,Overexposed,1LmN9SSHISbtp9LoaR5ZVJ
Travis Scott,Antidote,Rodeo,1wHZx0LgzFHyeIZkUydNXq
Kanye West,Can't Tell Me Nothing,Graduation,0mEdbdeRFQwBhN4xfyIeUM
Thin Lizzy,The Boys Are Back In Town,Jailbreak (Deluxe Edition),43DeSV93pJPT4lCZaWZ6b1
Kansas,Carry on Wayward Son,Leftoverture (Expanded Edition),4DMKwE2E2iYDKY01C335Uw
Kanye West,Heartless,808s & Heartbreak,4EWCNWgDS8707fNSZ1oaA5
"Kanye West, Mr Hudson",Paranoid,808s & Heartbreak,0w2piYWj1F2bzUftzGJgK9
Kanye West,RoboCop,808s & Heartbreak,02LAK7qT1wya0klSeNO96f
Kanye West,We Don't Care,The College Dropout,0IW0qaeyxL5Et4UG2MrJKB
"Kanye West, Syleena Johnson",All Falls Down,The College Dropout,5SkRLpaGtvYPhw02vZhQQ9
"Kanye West, GLC, Consequence",Spaceship,The College Dropout,1ko2NuvWlQdxtNRc8QQzmT
Kanye West,Jesus Walks,The College Dropout,5g1vtHqi9uV7xtYeCcFOBx
Kanye West,The New Workout Plan,The College Dropout,1Vp4St7JcXaUoJcIahtf3L
Kanye West,Through The Wire,The College Dropout,4mmkhcEm1Ljy1U9nwtsxUo
Kanye West,Jail,Donda,6d8HN8MqqbqrEUI2bvx0aG
Kanye West,Moon,Donda,7CC6UbCs4iGsePSzFxYxNn
Kanye West,New Again,Donda,75QktuEju5vz9lyXiLaUao
Kanye West,Champion,Graduation,4UQMOPSUVJVicIQzjAcRRZ
Kanye West,Stronger,Graduation,0j2T0R9dR9qdJYsB7ciXhf
"Kanye West, DJ Premier",Everything I Am,Graduation,0NrtwAmRAdLxua31SzHvXr
"Kanye West, Chris Martin",Homecoming,Graduation,4iz9lGMjU1lXS51oPmUmTe
Kanye West,God Is,JESUS IS KING,6xRWoYwfwIKnT8bQGzKbxR
"Kanye West, Lupe Fiasco",Touch The Sky,Late Registration,2dxjKgT0li4qBI3QwuN9Ih
"Kanye West, The Game",Crack Music,Late Registration,4fRTe59xEeNHT4uyAGsV27
Kanye West,Roses,Late Registration,2DHNCWZYmVr1Lv08q5b0kB
Kanye West,Hey Mama,Late Registration,46OFHBw45fNi7QNjSetITR
Kanye West,Ultralight Beam,The Life Of Pablo,1eQBEelI2NCy7AUTerX0KS
Kanye West,Famous,The Life Of Pablo,19a3JfW8BQwqHWUMbcqSx8
Kanye West,Freestyle 4,The Life Of Pablo,6wfzokDylbrJzrJcpnBkcy
Kanye West,FML,The Life Of Pablo,30Zcjs7pgEkmJA1lEbGSWT
Kanye West,Frank's Track,The Life Of Pablo,20r94xA0bsYNLtYSiOE6r3
Kanye West,No More Parties In LA,The Life Of Pablo,0zLClc0emc6qUeV1p5nc99
Kanye West,Fade,The Life Of Pablo,3cCxoOgfi6hgt8MNteuiiD
Kanye West,Saint Pablo,The Life Of Pablo,1o0kWPueYo94LIjPYOE5Nf
Kanye West,Dark Fantasy,My Beautiful Dark Twisted Fantasy,7yNK27ZTpHew0c55VvIJgm
"Kanye West, Kid Cudi, Raekwon",Gorgeous,My Beautiful Dark Twisted Fantasy,23SZWX2IaDnxmhFsSLvkG2
Kanye West,POWER,My Beautiful Dark Twisted Fantasy,2gZUPNdnz5Y45eiGxpHGSc
Kanye West,All Of The Lights,My Beautiful Dark Twisted Fantasy,22L7bfCiAkJo5xGSQgmiIO
"Kanye West, Rick Ross",Devil In A New Dress,My Beautiful Dark Twisted Fantasy,1UGD3lW3tDmgZfAVDh6w7r
"Kanye West, Pusha T",Runaway,My Beautiful Dark Twisted Fantasy,3DK6m7It6Pw857FcQftMds
"Kanye West, Ty Dolla $ign",STARS,VULTURES 1,6OON4kMjTFqARMFrRbmlwy
"Kanye West, Ty Dolla $ign",KEYS TO MY LIFE,VULTURES 1,3aZSvXuZt8ymQeixzFQM9W
"Kanye West, Ty Dolla $ign",PAID,VULTURES 1,1tz4np70ZKhzaXjdgl0J8i
"Kanye West, Ty Dolla $ign",BACK TO ME,VULTURES 1,0Tgm7wkLb0AfAHAZDschvD
"Kanye West, Ty Dolla $ign",DO IT,VULTURES 1,4YSa8VQxjzsski1DOsvkHH
"Kanye West, Ty Dolla $ign",BURN,VULTURES 1,4E3XDKil4ElJt6sXuz5cc6
"Kanye West, Ty Dolla $ign",CARNIVAL,VULTURES 1,4m4BHvDfzIgj5LbQLuFiIp
"Kanye West, Ty Dolla $ign",BEG FORGIVENESS,VULTURES 1,7DPUuTaTZCtQ6o4Xx00qzT
"Kanye West, Ty Dolla $ign",PROBLEMATIC,VULTURES 1,1ty0at2tUKqMGTyYbJ43eL
Kanye West,All Mine,ye,3U21A07gAloCc4P7J8rxcn
"Kanye West, PARTYNEXTDOOR",Wouldn't Leave,ye,1nGoy0cEj0extAwXYNYTWd
Kanye West,No Mistakes,ye,35KV2Nuib6jPMVN00O8iba
"Kanye West, PARTYNEXTDOOR",Ghost Town,ye,7vgTNTaEz3CsBZ1N4YQalM
Kanye West,Violent Crimes,ye,3s7MCdXyWmwjdcWh7GWXas
Kanye West,Black Skinhead,Yeezus,722tgOgdIbNe3BEyLnejw4
Kanye West,New Slaves,Yeezus,4cAgkb0ifwn0FSHGXnr4F6
Kanye West,Bound 2,Yeezus,3sNVsP50132BTNlImLx70i
Eminem,Ass Like That,Encore (Deluxe Version),4gXdMZkBN1neE9nX6yRALa
Luke Combs,Fast Car,Gettin' Old,1Lo0QY9cvc8sUB2vnIOxDT
Eminem,Without Me,The Eminem Show,7lQ8MOhq6IN2w8EYcFNSUk
Miley Cyrus,Used To Be Young,Endless Summer Vacation,41WQUSINanQHfhfKpFDsms
Eminem,The Real Slim Shady,The Marshall Mathers LP,3yfqSUWxFvZELEM4PmlwIR
Dua Lipa,Houdini,Houdini,4OMJGnvZfDvsePyCwRGO7X
"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,0RiRZpuVRbi7oqRdSMwhQY
"Post Malone, 21 Savage",rockstar (feat. 21 Savage),beerbongs & bentleys,0e7ipj03S05BNilyu5bRzt
"Eminem, Juice WRLD",Godzilla (feat. Juice WRLD),Music To Be Murdered By,7FIWs0pqAYbP91WWM0vlTQ
Taylor Swift,Cruel Summer,Lover,1BxfuPKGuaTgP7aM0Bbdwr
Taylor Swift,Blank Space,1989,1p80LdxRV74UKvL8gnD7ky
James Arthur,Say You Won't Let Go,Back from the Edge,5uCax9HTNlzGybIStD3vDh
Demi Lovato,Heart Attack,Demi,1V6gIisPpYqgFeWbMLI0bA
Taylor Swift,You Belong With Me,Fearless,3OaBCFROgrLRbZGCFP6E3M
Taylor Swift,Love Story,Fearless,7bad461siaxECNlaYsmIo6
One Direction,Perfect,Made In The A.M. (Deluxe Edition),3NLnwwAQbbFKcEcV8hDItk
One Direction,They Don't Know About Us,Take Me Home (Expanded Edition),6M31fPFCYB8Job3MCjjrDV
Selena Gomez & The Scene,Love You Like A Love Song,When The Sun Goes Down,0laYHRpNTS6i8FXdupHkJ4
"Olivia Rodrigo, Disney",All I Want - From  High School Musical: The Musical: The Series ,All I Want (From  High School Musical: The Musical: The Series ),4Yxc55NX3tAXC2mHRAhtcW
Olivia Rodrigo,traitor,SOUR,5CZ40GBx1sQ9agT82CLQCT
Olivia Rodrigo,deja vu,SOUR,6HU7h9RYOaPRFeh0R3UeAr
Taylor Swift,Wildest Dreams (Taylor's Version),1989 (Taylor's Version),1K39ty6o1sHwwlZwO6a7wK
Taylor Swift,We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),5YqltLsjdqFtvqE7Nrysvs
Taylor Swift,22 (Taylor's Version),Red (Taylor's Version),3yII7UwgLF6K5zW3xad3MP
Taylor Swift,Bejeweled,Midnights,3qoftcUZaUOncvIYjFSPdE
Taylor Swift,Look What You Made Me Do,reputation,1P17dC1amhFzptugyAO7Il
Taylor Swift,You Belong With Me (Taylor’s Version),Fearless (Taylor's Version),1qrpoAMXodY6895hGKoUpA
Demi Lovato,Cool for the Summer,Confident,3uwnnTQcHM1rDqSfA4gQNz
"Pharrell Williams, Trey Parker",Hug Me,Despicable Me 3 (Original Motion Picture Soundtrack),6eVM9lCmIqwGTUOoeH61Lu
Britney Spears,Oops!...I Did It Again,Oops!... I Did It Again,6naxalmIoLFWR0siv8dnQQ
"James Arthur, Anne-Marie",Rewrite The Stars (with James Arthur & Anne-Marie),Rewrite The Stars (with James Arthur & Anne-Marie),6mQLN3zRtAp6ovjusyYKrV
Lady Gaga,Born This Way,Born This Way (Special Edition),6r2BECwMgEoRb5yLfp0Hca
One Direction,Right Now,Midnight Memories (Deluxe),1dQQ2QlnvXUehsRUrukKmf
"ZAYN, Taylor Swift",I Don’t Wanna Live Forever (Fifty Shades Darker),reputation Stadium Tour Surprise Song Playlist,55n9yjI6qqXh5F2mYvUc2y
Kendrick Lamar,Backseat Freestyle,"good kid, m.A.A.d city (Deluxe)",3aGibUHhQyBsyumYHylw0K
Kendrick Lamar,F*ck Your Ethnicity,Section.80,1gXH8hT9dxsBqbRy7h2iC8
Kendrick Lamar,Hol' Up,Section.80,6cfVDaIdvDtYH91RqC6Wox
Kendrick Lamar,A.D.H.D,Section.80,2Fw5S2gaOSZzdN5dFoC2dj
Kendrick Lamar,Blow My High (Members Only),Section.80,1FRF0NHXBW4ecdulGkTzJY
Kendrick Lamar,Alright,To Pimp A Butterfly,3iVcZ5G6tvkXZkZKlMpIUs
Kendrick Lamar,King Kunta,To Pimp A Butterfly,0N3W5peJUQtI4eyR6GJT5O
Britney Spears,...Baby One More Time,...Baby One More Time (Digital Deluxe Version),3MjUtNVVq3C8Fn0MP3zhXa
Justin Bieber,Boyfriend,Believe,3UGIZ8qcrMTwzLbx6Kttqt
"Justin Bieber, Big Sean",As Long As You Love Me,Believe,75lo8VozcCLRG9WGG674iD
MF DOOM,Hoe Cakes,MM..FOOD,4b82tXj35SycILuILcgBQ6
Selena Gomez,Come & Get It,Stars Dance (Bonus Track Version),6LoQHIo74tOzQ8EsLEkhgF
"Madvillain, Madlib, MF DOOM",Meat Grinder,Madvillainy,4WM1hvYr2NC6bQnQXcj3sH
"Madvillain, Madlib, MF DOOM",All Caps,Madvillainy,21O0XXPEWPtePt5RMY93Ob
Taylor Swift,You Need To Calm Down,Lover,6RRNNciQGZEXnqk8SQ9yv5
NewJeans,Hurt,NewJeans 1st EP 'New Jeans',5expoVGQPvXuwBBFuNGqBd
NewJeans,ETA,NewJeans 2nd EP 'Get Up',56v8WEnGzLByGsDAXDiv4d
Ava Max,Not Your Barbie Girl,Not Your Barbie Girl,4fkM7M4Uo5AUASnnsRC7EZ
Playboi Carti,Sky,Whole Lotta Red,29TPjc8wxfz4XMn21O7VsZ
Playboi Carti,Magnolia,Playboi Carti,1e1JKLEDKP7hEQzJfNAgPl
Meghan Trainor,Made You Look,Takin' It Back,0QHEIqNKsMoOY5urbzN48u
Miley Cyrus,Flowers,Endless Summer Vacation,7DSAEUvxU8FajXtRloy8M0
"Travis Scott, Kacy Hill",90210 (feat. Kacy Hill),Rodeo,51EC3I1nQXpec4gDk0mQyP
Meghan Trainor,Better When I'm Dancin',Better When I'm Dancin',5k5fWendNngd89O8JKoE8L
"Twista, Kanye West, Jamie Foxx",Slow Jamz,The College Dropout,3A4cpTBPaIQdtPFb5JxtaX
Demi Lovato,Confident,Confident,3DXXKDbbZKyAZfNb96ST3q
P!nk,Just Like Fire (From the Original Motion Picture  Alice Through The Looking Glass ),Just Like Fire (From the Original Motion Picture  Alice Through The Looking Glass ),7K5dzhGda2vRTaAWYI3hrb
"Tyler The Creator, Lil Wayne, Kanye West",SMUCKERS (feat. Lil Wayne & Kanye West),Cherry Bomb + Instrumentals,3v6SdZsS8zR6Go257tldbB
"Tyler The Creator, Kali Uchis",See You Again (feat. Kali Uchis),Flower Boy,7KA4W4McWYRpgf0fWsJZWB
Halsey,Without Me,Manic,6FZDfxM3a3UCqtzo5pxSLZ
"Tyler The Creator, Frank Ocean",She,Goblin,5WzfCu5fhgm7jv896EN1Md
Selena Gomez,Lose You To Love Me,Rare,4l0Mvzj72xxOpRrp6h8nHi
Shawn Mendes,In My Blood,Shawn Mendes,2QZ7WLBE8h2y1Y5Fb8RYbH
Tyler The Creator,Colossus,Wolf,5AnVuHLmgipXkFmBvj2Q6H
Lewis Capaldi,Someone You Loved,Divinely Uninspired To A Hellish Extent,7qEHsqek33rTcFNT9PFqLf
Maroon 5,Memories,JORDI (Deluxe),4cktbXiXOapiLBMprHFErI
Joji,worldstar money (interlude),In Tongues,435yU2MvEGfDdmbH0noWZ0
Joji,Will He,In Tongues,4apZVURUvTrT9S51LBuXON
Olivia Rodrigo,vampire,GUTS,1kuGVB7EU95pJObxwvfwKS
Joji,Demons,In Tongues,3IsOr4fNjL24DtkNIBqjKz
Joji,Pills,In Tongues,5iIixnRBYl3NJDBfzEOKWz
Joji,Bitter Fuck,In Tongues,3LKgZUoFX1c4uT1CPDoOhz
Dua Lipa,Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),1vYXt7VSjH9JIM5oRRo7vA
"JAŸ-Z, Kanye West",Gotta Have It,Watch The Throne (Deluxe),5Pt83OUaK3K9C2if4C5JOk
Frank Ocean,Thinkin Bout You,channel ORANGE,7DfFc7a6Rwfi3YQMRbDMau
"Frank Ocean, Earl Sweatshirt",Super Rich Kids,channel ORANGE,0725YWm6Z0TpZ6wrNk64Eb
"Charlie Puth, Jung Kook, BTS",Left and Right (Feat. Jung Kook of BTS),CHARLIE,5Odq8ohlgIbQKMZivbWkEo
Frank Ocean,Ivy,Blonde,2ZWlPOoWh0626oTaHrnl2a
Frank Ocean,Pink + White,Blonde,3xKsf9qdS1CyvXSMEid6g8
"Drake, SZA",Slime You Out (feat. SZA),For All The Dogs,0AYt6NMyyLd0rLuvr0UkMH
Alec Benjamin,Let Me Down Slowly,Narrated For You,2qxmye6gAegTMjLKEBoR3d
Childish Gambino,Heartbeat,Camp,0zo4aX57COch7Wh3NRImTM
Childish Gambino,Bonfire,Camp,25ypHCQpDX2nrDFly7eZLZ
Childish Gambino,Fire Fly,Camp,42d65HLPpUBlMaKeaMt3FX
The Cardigans,Lovefool,First Band On The Moon (Remastered),7aQjPecQdIuNd1sz3KCDhD
"Meghan Trainor, John Legend",Like I'm Gonna Lose You (feat. John Legend),Title (Deluxe),2YlZnw2ikdb837oKMKjBkW
Adele,When We Were Young,25,6O5TrlFWTYvznd9fMC0VvU
"Baby Keem, Kendrick Lamar",family ties (with Kendrick Lamar),The Melodic Blue,3QFInJAm9eyaho5vBzxInN
Baby Keem,16,The Melodic Blue,1Is8hGpkGMiePASAxBluxM
salem ilese,Mad at Disney,(MORE) Unsponsored Content,0PlzctO0nv2sSIFmqDSE6h
Kenshi Yonezu,KICK BACK,KICK BACK,3khEEPRyBeOUabbmOPJzAG
George Thorogood & The Destroyers,Bad To The Bone,BAD TO THE BONE,6s0NHplywwr1IjnQpUpWJk
AC/DC,Highway to Hell,Highway to Hell,2zYzyRzz6pRmhPzyfMEC8s
The Wanted,Glad You Came,Battleground (Deluxe Edition),5yDL13y5giogKs2fSNf7sj
"Shakira, Wyclef Jean",Hips Don't Lie (feat. Wyclef Jean),"Oral Fixation, Vol. 2 (Expanded Edition)",3ZFTkvIE7kyPt6Nu3PEa7V
Kidz Bop Kids,Watch Me (Whip / Nae Nae),Kidz Bop 30,1f77VGwoxfTAMFe4PZLhEo
2 Guys n the Parque,S.I.M.P. (Squirrels in My Pants),Phineas and Ferb,79dZh4PQgkesCgd2xdPF6O
Los Del Rio,Macarena,Fiesta Macarena,4oaj36KzXRgDg4McgcTsZK
Songs To Wear Pants To,Pink Fluffy Unicorns Dancing On Rainbows,"Corduroys, With Tassles",4Xn2RsLiDUDisOgJ24FigK
Crazy Frog,Axel F - Radio Mix,Presents Crazy Hits,54mXTdOfNN7YYma1iRW3WY
Dj Remix Fellow,I Play Pokemon go Everyday,I Play Pokemon go Everyday,1rujbYy3ISmYnDrBlBI7qb
Rik Gaynor,The Duck Song (Got Any Grapes),The Duck Song (Got Any Grapes),4TYwp6hPy8UIHNzJk8JGeA
Player2,DK Rap (From  Donkey Kong 64 ),DK Rap (From  Donkey Kong 64 ),5yOLb7GPlYgzzRZwvPQAz0
Parry Gripp,Raining Tacos,Parry Gripp Mega-Party (2008 - 2012),01apQz7E72krU1k1b4VWs7
Pinkfong,Baby Shark,Pinkfong Animal Songs,5ygDXis42ncn6kYG14lEVG
Parry Gripp,Do You Like Waffles?,Do You Like Waffles?,7dlNLDrE2Fc3IlvN5Ha8xa
"Nathan Lane, Ernie Sabella, Jason Weaver, Joseph Williams",Hakuna Matata,The Lion King,5k3U0OGYBccHdKJJu3HrUN
"The Lorax Singers, Rob Riggle",Thneedville,Dr. Seuss' The Lorax - Original Songs From The Motion Picture,7vmEKYa8wixTVJJurSRlfF
